Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters.                      
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: sensible heat flux                             W m-2
qe: latent heat flux                               W m-2
qn: net radiation                                  W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      1     11      367.8702       193.7616         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0007         0.0000        -0.0062         0.0000         0.0100         0.0002         0.1938         1.0000       -13.4200        -0.2331       -42.0520        55.7042       386.5210       378.7297        16.4149         8.1349         1.0912        14.7870        14.8538        18.3709         0.1885         0.1960            NaN
      1     12      367.8694       193.7609         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0007         0.0000        -0.0062         0.0000         0.0100         0.0002         0.1938         1.0000        -6.9836        -0.2070       -41.9626        49.1553       387.7657       380.0293        15.5714         8.4659         1.0912        15.0070        15.0418        18.1870         0.1884         0.1960         0.0000
      1     13      367.8683       193.7601         0.0000         0.0000         0.0000         0.0000         0.0000         0.0002         0.0000         0.0007         0.0000        -0.0062         1.9996         0.0100         0.0001         0.1938         1.0000        -4.4425        -0.1814       -37.2321        41.8551       395.2171       393.3262        18.6395        17.5417         1.0912        15.3300        15.3521        18.0731         0.1884         0.1960         0.4264
      1     14      367.8672       193.7590         0.0000         0.0000         0.0000         0.0000         0.0000         0.0004         0.0000         0.0007         0.0000        -0.0062         1.9996         0.0100         0.0001         0.1938         1.0000        -6.6225        -0.1616       -18.5097        25.2901       423.4111       444.6816        30.5207        53.2395         1.0912        16.3270        16.3601        18.1118         0.1884         0.1960         0.4264
      1     15      367.8659       193.7579         0.0000         0.0000         0.0000         0.0000         0.0000         0.0005         0.0000         0.0007         0.0000        -0.0062         1.9996         0.0100         0.0001         0.1938         1.0000       -12.4835        -0.1623         3.6549         8.9923       456.5568       505.4585        45.6904        95.5880         1.0912        17.4400        17.5027        18.2837         0.1884         0.1960         0.4273
      1     16      367.8643       193.7564         0.0000         0.0000         0.0000         0.0000         0.0000         0.0008         0.0000         0.0007         0.0000        -0.0062         1.9996         0.0100         0.0002         0.1938         1.0000       -43.9865        -0.2672        55.2540       -11.0033       526.8364       644.9684        86.4428       192.1651         1.0912        18.8070        19.0290        18.6123         0.1884         0.1960         0.4546
      1     17      367.8617       193.7539         0.0000         0.0000         0.0000         0.0000         0.0000         0.0016         0.0000         0.0007         0.0000        -0.0062         1.9996         0.0100         0.0003         0.1938         1.0000       -56.8046        -0.4519        95.5869       -38.3325       588.2238       753.2415       112.7412       266.7883         1.0912        20.9200        21.2088        19.1545         0.1884         0.1960         0.4476
      1     18      367.8495       193.7420         0.0000         0.0000         0.0000         0.0000         0.0000         0.0101         0.0000         0.0007         0.0000        -0.0062         1.9996         0.0100         0.0014         0.1938         1.0000       -72.2744        -1.8382       121.8167       -47.7019       626.7375       813.9695       126.6857       310.3885         1.0912        22.0170        22.3858        19.7162         0.1883         0.1960         0.4335
      1     19      367.8163       193.7088         0.0000         0.0000         0.0000         0.0000         0.0000         0.0292         0.0000         0.0007         0.0000        -0.0062         1.9996         0.0100         0.0035         0.1937         1.0000       -93.6662        -4.7250       160.0513       -61.6579       681.6583       898.3060       143.6295       369.9399         1.0912        23.4130        23.8932        20.3478         0.1882         0.1959         0.4190
      1     20      367.7716       193.6643         0.0000         0.0000         0.0000         0.0000         0.0000         0.0394         0.0000         0.0007         0.0000        -0.0062         1.9996         0.0100         0.0046         0.1937         1.0000      -121.2679        -6.2049       198.0018       -70.5320       734.5541       977.8298       159.3435       428.3758         1.0912        24.5030        25.1270        20.9982         0.1881         0.1958         0.4051
