   1       0.8613   0.4593   0.2990
   2       0.8669   0.5269   0.3487
   3       0.8802   0.5774   0.3778
   4       0.6707   0.5258   0.3622
   5       0.6910   0.5843   0.4071
   6       0.7301   0.6581   0.4570
   7       0.5509   0.6148   0.4632
   8       0.5873   0.6754   0.5205
   9       0.6232   0.7348   0.5498
  10       0.4605   0.6960   0.5665
  11       0.4872   0.7560   0.6206
  12       0.5275   0.8164   0.6648
  13       0.3976   0.7901   0.6856
  14       0.4311   0.8363   0.7179
  15       0.4728   0.8888   0.7557
  16       0.3642   0.9092   0.8093
  17       0.3720   0.9357   0.8335
  18       0.3838   0.9639   0.8600
  19       0.8597   0.4620   0.3054
  20       0.8608   0.4784   0.3062
  21       0.8580   0.4953   0.3252
  22       0.6667   0.5415   0.3813
  23       0.6778   0.5646   0.3741
  24       0.7163   0.6003   0.3869
  25       0.5441   0.6071   0.4557
  26       0.5453   0.6582   0.4807
  27       0.5588   0.7007   0.5058
  28       0.4535   0.6931   0.5560
  29       0.4594   0.7436   0.5830
  30       0.4855   0.8071   0.6177
  31       0.3926   0.7874   0.6759
  32       0.4072   0.8378   0.7235
  33       0.4151   0.8915   0.7654
  34       0.3583   0.9092   0.8093
  35       0.3598   0.9357   0.8335
  36       0.3607   0.9639   0.8600
  37       0.8601   0.4697   0.3185
  38       0.8591   0.4553   0.2831
  39       0.8565   0.4642   0.2853
  40       0.6670   0.5414   0.3806
  41       0.6787   0.5666   0.3771
  42       0.7178   0.6030   0.3894
  43       0.5399   0.5997   0.4436
  44       0.5296   0.6545   0.4778
  45       0.5426   0.6996   0.4899
  46       0.4540   0.6936   0.5578
  47       0.4609   0.7447   0.5857
  48       0.4875   0.8083   0.6211
  49       0.3945   0.7873   0.6755
  50       0.3853   0.8353   0.7142
  51       0.3856   0.8905   0.7617
  52       0.3593   0.9092   0.8093
  53       0.3609   0.9357   0.8335
  54       0.3634   0.9639   0.8600
  55       0.8600   0.4628   0.3054
  56       0.8617   0.4810   0.3075
  57       0.8612   0.5032   0.3298
  58       0.6709   0.5265   0.3642
  59       0.6911   0.5842   0.4074
  60       0.7306   0.6579   0.4560
  61       0.5450   0.6073   0.4548
  62       0.5494   0.6596   0.4810
  63       0.5652   0.7050   0.5104
  64       0.4606   0.6961   0.5669
  65       0.4875   0.7561   0.6210
  66       0.5268   0.8161   0.6620
  67       0.3937   0.7877   0.6773
  68       0.4082   0.8381   0.7242
  69       0.4174   0.8917   0.7662
  70       0.3645   0.9092   0.8093
  71       0.3724   0.9357   0.8335
  72       0.3846   0.9639   0.8600
