Met file for Wind River, Washington, USA

&environ
difsky = 0.0
ca = 410.663661655329
press = 96777.473218838
/

&latlong
lat=45 49 13.8
long=121 57	6.8394
tzlong=120
lonhem='W'
lathem='N'
/

startdate and enddate format: dd/mm/yy
&metformat
dayorhr=1
khrsperday=48
nocolumns=9
startdate='01/01/14'
enddate='31/12/14'
columns='DATE'	'TAIR'	'WIND'	'RH%'	'PRESS'	'RAD'	'PAR'	'TSOIL'	'CA'
/

DATA STARTS
2	2.017896	0.1069716	100	97317.14	84.2	175.6	2.3288	413.281367
2	2.385696	0.2594322	100	97310.71	139.8	288.2	2.3292	409.5824687
2	3.23461	0.2775969	100	97292.89	187.4	387.9	2.343866667	407.055376
2	3.784838	0.2675837	100	97253.87	176.3	385.1	2.360366667	406.1214424
2	4.345915	0.3946929	100	97204.25	193.5	437.4	2.3911	404.4160434
2	4.861382	0.4829476	98.89	97136.74	259.5	574.5	2.425166667	403.4659837
2	6.053645	0.3897006	90.62512	97091.31	213.8	484.7	2.457533333	400.141466
2	6.645988	0.4840772	84.62113	97032.6	187.6	434.4	2.493866667	398.2397134
2	7.710289	0.3795358	78.42172	96956.95	295.5	672.8	2.5466	396.4461315
2	8.112146	0.9403614	77.93114	96905.43	274.6	636.4	2.568166667	394.86188
2	9.208894	0.1443996	72.25014	96866.16	223.3	523.6	2.5926	393.578231
2	9.297979	0.06707212	72.72156	96829.15	126.4	313.2	2.619166667	390.9072371
2	9.115471	0.6603066	74.34531	96820.46	68.78	180.4	2.6326	388.7191344
2	8.488006	0.5129586	76.48846	96800.31	25.59	77.8	2.643566667	390.6151848
2	8.028044	0.5910484	78.4884	96784.3	10.77	32.28	2.658666667	388.3504054
2	7.147682	0.3874025	83.82612	96757.6	0	0	2.6608	385.2217254
2	6.571396	0.7668507	86.38182	96756.35	0	0	2.664633333	386.712559
2	6.156277	0.6971123	88.87888	96733.67	0	0	2.666833333	387.5072922
2	5.650904	0.6902916	91.46073	96692.53	0	0	2.630433333	389.5913987
2	5.611457	0.8593868	91.41347	96664.72	0	0	2.661766667	390.1424572
2	5.513472	1.206341	91.2191	96643.21	0	0	2.653533333	392.4602245
2	5.046959	0.7987682	92.57096	96617.72	0	0	2.652833333	396.0647407
2	4.749049	0.8861147	96.86459	96594.62	0	0	2.6499	398.45307
2	5.125344	1.630318	91.44064	96599.78	0	0	2.653466667	399.0982453
2	4.886615	2.299682	94.77444	96581.21	0	0	2.6564	401.9416312
2	6.429767	1.758511	81.47669	96590.04	0	0	2.6608	400.0442465
2	6.506748	2.524648	81.96457	96606.37	0	0	2.676166667	398.8274251
2	5.840941	1.882238	85.2915	96627.56	0	0	2.697833333	398.572588
2	5.458649	0.9200225	90.12364	96614.75	0	0	2.698833333	399.1696301
3	5.618036	1.895136	90.48736	96630.71	0	0	2.763533333	399.93619
3	5.663524	1.35655	91.40829	96661.75	0	0	2.789766667	400.0927243
3	5.898812	2.05404	86.50098	96716.77	0	0	2.816166667	403.2973757
3	5.578715	1.127091	85.39957	96754.38	0	0	2.831733333	404.6006941
3	4.925086	1.276067	94.69926	96778.31	0	0	2.850266667	405.2545661
3	4.513257	0.8031709	98.89281	96832.18	0	0	2.857433333	404.5203555
3	4.523085	0.9172928	98.92689	96891.19	0	0	2.863566667	404.6557731
